;org_id;protocols;protocols_base;protocols_complicated;protocols_targeted;curators;teachers;prot_templates;protocols_per_teacher;pupils_mean;interval_mean;interval_std;interval_mean_year_diff;interval_std_year_diff;scope_m;pupils_m;pupils_d_mean;interactions_m;interactions_d_mean;attention_m;attention_d_mean;vector_interact_m;vector_intention_m;vector_attention_m;scope_m_diff;pupils_m_diff;pupils_d_mean_diff;interactions_m_diff;interactions_d_mean_diff;attention_m_diff;attention_d_diff;vector_interact_m_diff;vector_intention_m_diff;vector_attention_m_diff;satisfaction;wish_to_change
0;1;59;28;20;11;3;9;15;6.6;8.64;24.0;17.0;5.0;7.0;0.96;0.47;0.38;0.54;0.36;0.49;0.37;-0.07;-0.02;-0.03;-0.05999999999999994;-0.04999999999999999;0.020000000000000018;0.020000000000000018;0.030000000000000027;-0.020000000000000018;0.010000000000000009;-0.09;-0.03;0.0;3.38;2.32
1;68;62;24;27;11;4;9;14;6.9;21.08;15.0;24.0;24.0;37.0;0.93;0.45;0.34;0.51;0.34;0.41;0.34;-0.05;-0.01;-0.02;0.05999999999999994;0.13000000000000006;0.009999999999999953;0.09999999999999998;-0.019999999999999962;0.09999999999999998;-0.010000000000000009;0.03;0.01;0.03;3.46;2.54
2;69;32;10;14;8;1;2;15;16.0;4.88;10.0;9.0;-11.0;0.0;1.0;0.5;0.35;0.51;0.35;0.5;0.34;-0.01;0.0;-0.02;0.0;0.010000000000000009;0.03999999999999998;0.040000000000000036;0.12;0.010000000000000009;0.02999999999999997;0.01;0.0;;3.0;2.75
3;70;35;16;14;5;1;2;13;17.5;1.8;11.0;7.0;-2.0;-1.0;1.0;0.5;0.29;0.57;0.31;0.53;0.29;-0.01;0.0;-0.01;0.0;-0.43;0.07;-0.4;0.13;-0.42;0.08000000000000002;0.02;0.0;0.02;3.0;2.57
4;71;34;10;14;10;1;3;15;11.3;10.35;10.0;6.0;-1.0;1.0;0.95;0.49;0.39;0.56;0.37;0.51;0.39;-0.08;-0.02;-0.05;0.0;0.0;0.0;0.0;-0.030000000000000027;0.030000000000000027;-0.010000000000000009;-0.04999999999999999;0.0;;3.88;2.25
5;72;20;7;10;3;1;2;11;10.0;5.65;11.0;9.0;8.0;8.0;0.87;0.46;0.37;0.52;0.41;0.52;0.36;-0.12;-0.06;0.02;-0.16000000000000003;0.08000000000000002;-0.050000000000000044;-0.14999999999999997;0.019999999999999962;0.19999999999999996;-0.06999999999999995;0.16999999999999998;-0.09;0.12;;
6;73;23;9;11;3;1;2;12;11.5;7.52;16.0;8.0;5.0;2.0;1.0;0.48;0.37;0.49;0.37;0.5;0.37;-0.01;0.0;0.04;0.0;0.08000000000000002;-0.010000000000000009;-0.08000000000000002;0.030000000000000027;0.08000000000000002;-0.010000000000000009;0.18;0.0;0.18;;
7;74;28;20;3;5;1;2;12;14.0;14.39;11.0;8.0;6.0;1.0;0.72;0.48;0.36;0.62;0.39;0.52;0.36;-0.17;-0.04;-0.04;0.020000000000000018;0.10000000000000003;0.030000000000000027;-0.12;0.03999999999999998;0.050000000000000044;0.030000000000000027;0.31;0.05;0.08;4.0;1.36
8;75;26;11;11;4;2;3;13;8.7;3.81;15.0;10.0;-2.0;-1.0;0.96;0.53;0.35;0.53;0.39;0.52;0.32;-0.01;0.01;-0.09;0.010000000000000009;0.0;-0.15000000000000002;0.039999999999999925;0.02999999999999997;0.14999999999999997;-0.04999999999999999;-0.07;-0.14;0.03;3.3;3.0
9;76;33;6;15;12;1;2;15;16.5;6.76;11.0;8.0;-7.0;-2.0;1.0;0.43;0.37;0.52;0.35;0.43;0.37;-0.09;0.0;-0.13;0.0;0.0;0.010000000000000009;;;0.0;0.010000000000000009;;0.0;;3.0;2.5
