;prot_id;template_code;date_of_lesson;org_id;teacher_id;observer_id;curator_id;class;satisfaction;wish_to_change;pupils_all;pupils_strong;pupils_middle;pupils_weak;interactions_all;interactions_strong;interactions_middle;interactions_weak;attention_all;attention_strong;attention_middle;attention_weak;teacher_comments
0;816;П1.1;01.02.2022;133;726;725;724;;;;10;;;;30.0;;;;10.0;;;;Больше внимания уделять слабым ученикам и мотивировать их на ответы.
1;1162;П1.1;02.02.2022;128;736;735;734;;;;7;;;;18.0;;;;6.0;;;;Учитель  уделяет внимание всем учащимся
2;1170;П1.1;02.02.2022;128;735;736;734;;;;11;;;;17.0;;;;9.0;;;;Уделять внимание не только тем, кто поднимает руку.
3;1069;П1.1;04.02.2022;133;725;726;724;;;;12;;;;39.0;;;;9.0;;;;Больше внимания уделять слабым ученикам и мотивировать их на ответы.
4;295;П1.1;07.02.2022;79;534;533;532;;;;11;;;;18.0;;;;11.0;;;;Своё внимание учитель  распределял на всех обучающихся, поэтому взаимодействие учителя и учеников было постоянным. Учитель ожидал работы от каждого  обучающегося и дети  работали в меру своих возможностей.  У учителя  был постоянный контакт с учениками. Если ученик не мог  сходу ответить  на поставленный вопрос,  то учитель  оказывал небольшую помощь и ребёнок справлялся  с заданием.  К обучающимся учитель обращался спокойным,  уверенным,  эмоциональным тоном.  У учителя получилось одинаково распределить  своё внимание  на учеников.
5;299;П1.1;07.02.2022;79;533;534;532;;;;10;;;;17.0;;;;10.0;;;;Взаимодействие  педагога с учениками  100%. Учитель распределил  внимание на всех учеников. Тон спокойный, уверенный, обращается к ученикам по полному имени. Учитель обращался  к каждому ученику, задавая вопросы по теме урока. Дети шли на контакт. Если ученик затруднялся с ответом на вопрос, то давал возможность ответить другим ученикам. Учитель старался  рааспределить  внимание на учеников одинаково - и это у него получилось.
6;815;П1.1;07.02.2022;133;726;725;724;;;;10;;;;25.0;;;;8.0;;;;Работой удовлетворенны, но нужно поработать с теми детьми, которые не очень активно работают с учителем.
7;83;П1.1;08.02.2022;83;561;562;560;;;;6;;;;28.0;;;;6.0;;;;Учитель взаимодействовал на уроке со всеми обучающимися. Внимание было равномерно распределено между сильными и слабыми учениками.
8;80;П1.1;09.02.2022;1;665;664;663;;4.0;;11;;;;54.0;;;;11.0;;;;удовлетворена
9;88;П1.1;09.02.2022;83;562;561;560;;;;8;;;;30.0;;;;8.0;;;;Больше внимания уделять слабым ученикам, стимулировать их к ответам.
10;973;П1.1;09.02.2022;132;719;721;720;;;;4;;;;18.0;;;;4.0;;;;Работой удовлетворены. Никаких изменений на уроке не требуется.
11;1070;П1.1;11.02.2022;133;725;726;724;;;;12;;;;42.0;;;;10.0;;;;уроком удовлетворены. Нужно включить в работу новые приемы, чтобы все дети начали активно взаимодействовать с педагогом.
12;233;П1.1;12.02.2022;70;494;493;492;;;;2;;;;8.0;;;;2.0;;;;"Урок русского языка в 4 классе по теме ""Сочинение-отзыв по картине Н. К. Рериха «Заморские гости». От урока только положительные отзывы и эмоции. Но не хватает динимики урока, хотя детки в классе со статусом ОВЗ (ЗПР). Дети охотно отвечают по теме урока, педагог охватывает вниманием весь класс(2 ученика), работает с ними весь урок в тесном контакте."
13;876;П1.1;13.02.2022;96;625;624;623;;;;6;;;;35.0;;;;6.0;;;;На знание и запоминание таблицы сложения с переодом через десяток использовать игровые моменты
14;584;П1.1;14.02.2022;119;861;862;860;;;;19;;;;20.0;;;;12.0;;;;Не все дети вовлечены в урок, учитель видит детей и делает им замечания. Но есть дети очень активные.
15;713;П1.1;14.02.2022;97;628;629;627;;;;2;;;;49.0;;;;2.0;;;;Я удовлетворен работой класса. В классе 2 ученика и оба были вовлечены в работу. Учитель уделял внимание обоим ученикам.
16;546;П1.1;14.02.2022;94;603;602;599;;;;2;;;;20.0;;;;2.0;;;;На знание и запоминание таблицы умножения использовать игровые моменты
17;320;П1.1;14.02.2022;91;641;645;639;;;;4;;;;19.0;;;;3.0;;;;Я удовлетворенане в полном объёме. Нужно, чтобы вопросы задавались каждому ученику, не зависимо от его активности и способностей. Учительница должна обращаиь внимание на всех. Я могу ей помочь советом, показав реальную картину.
18;322;П1.1;14.02.2022;91;645;641;639;;;;7;;;;18.0;;;;5.0;;;;Учитель не опросил всех учеников. Только тех, кто поднимал руки. Необходито указать что всех учеников нужно спрашивать, потому что некоторые могут быть просто не уверены в себе.  
19;593;П1.1;14.02.2022;119;852;853;851;;;;22;;;;12.0;;;;8.0;;;;Нет, не удовлетворена, потому что считаю, что  учитель должен взаимодействовать со всеми обучающимися на каждом зучебном занятии. Будем работать!
20;339;П1.1;14.02.2022;133;729;728;727;;;;16;;;;58.0;;;;14.0;;;;Работай на уроке удовлетворены. Нужно поработать над поведением активных детей, так как они не дают высказатся остальным.
21;603;П1.1;14.02.2022;89;611;610;609;;;;8;;;;23.0;;;;8.0;;;;Методические цели поставленные учителем на уроке достигнуты, все ученики вклчая детей ОВЗ  были задействованы.
22;878;П1.1;14.02.2022;96;624;625;623;;;;6;;;;40.0;;;;6.0;;;;Для сильного ученика нужна для самостоятельной работы карточка, чтобы ученик не отвлекался
23;631;П1.1;14.02.2022;113;826;827;825;;;;8;;;;27.0;;;;6.0;;;;урок прошел успешно. Цели были достигнуты. В процессе урока учитель продемонстрировал такие качества как собранность, доброжелательность в обращении с учащимися. Речь отличалась грамотностью, эмоциональностью. Обучающиеся на уроке были собраны и активны.
24;639;П1.1;14.02.2022;113;827;826;825;;;;11;;;;19.0;;;;7.0;;;;На уроке были реализованы цель и поставленные задаччи. Урок прошел на должном уровне. Обучающиеся и учитель получили огромное удовольствие от общения.
25;935;П1.1;14.02.2022;72;478;477;476;;;;5;;;;120.0;;;;5.0;;;;Поставленной целью на уроке не совсем удовлетворена. Считаю, что необходимо продолжить работу по данной компетенции. 
26;938;П1.1;14.02.2022;72;477;478;476;;;;5;;;;113.0;;;;5.0;;;;Поставленной целью на уроке не совсем удовлетворена. Считаю, что необходимо продолжить работу по данной компетенции. 
27;969;П1.1;14.02.2022;132;721;719;720;;;;2;;;;12.0;;;;2.0;;;;Работой удовлетворены, но из двух учащихся класса учитель больше работает с более сильной девочкой (это отметил сам учитель). Поэтому необходима работа по рапределению внимания учителя, давать возможность второй девочке ответить, хоть на это и требуется больше времени.
28;720;П1.1;15.02.2022;97;629;628;627;;;;2;;;;48.0;;;;2.0;;;;Я удовлетворена работой класс. Урок прошел активно, учащиеся были вовлечены  в живую заинтересованную беседу,т.к. на уроке  ОБЖ. шла речь о жизненно важной проблемме выборе профессии.
29;1010;П1.1;15.02.2022;85;569;570;568;;;;8;;;;19.0;;;;6.0;;;;На следующей встречи обратить внимание на двух учащихся, которые менее активны на уроке.
30;541;П1.1;15.02.2022;94;602;603;599;;;;7;;;;39.0;;;;7.0;;;;Для сильного ученика нужна для самостоятельной работы карточка, чтобы ученик не отвлекался
31;116;П1.1;15.02.2022;122;921;922;920;;;;9;;;;23.0;;;;9.0;;;;Продолжать работать над данной компетенцией. На следующей встрече рассмотреть прицельный протокол.
32;999;П1.1;15.02.2022;76;501;502;500;;;;5;;;;76.0;;;;5.0;;;;В целам работой удовлетворена. В течение урока внимание учителя распределено между всеми учащимися примерно одинаково. Все учащиеся активно включены в деятельность
