;prot_id;template_code;date_of_lesson;org_id;teacher_id;observer_id;curator_id;class;satisfaction;wish_to_change;pupils_all;pupils_strong;pupils_middle;pupils_weak;interactions_all;interactions_strong;interactions_middle;interactions_weak;attention_all;attention_strong;attention_middle;attention_weak;teacher_comments
0;816;П1.1;01.02.2022;133;726;725;724;0;0;0;10;;;;30;;;;10;;;;Больше внимания уделять слабым ученикам и мотивировать их на ответы.
1;1162;П1.1;02.02.2022;128;736;735;734;0;0;0;7;;;;18;;;;6;;;;Учитель  уделяет внимание всем учащимся
2;1170;П1.1;02.02.2022;128;735;736;734;0;0;0;11;;;;17;;;;9;;;;Уделять внимание не только тем, кто поднимает руку.
3;1069;П1.1;04.02.2022;133;725;726;724;0;0;0;12;;;;39;;;;9;;;;Больше внимания уделять слабым ученикам и мотивировать их на ответы.
4;295;П1.1;07.02.2022;79;534;533;532;0;0;0;11;;;;18;;;;11;;;;Своё внимание учитель  распределял на всех обучающихся, поэтому взаимодействие учителя и учеников было постоянным. Учитель ожидал работы от каждого  обучающегося и дети  работали в меру своих возможностей.  У учителя  был постоянный контакт с учениками. Если ученик не мог  сходу ответить  на поставленный вопрос,  то учитель  оказывал небольшую помощь и ребёнок справлялся  с заданием.  К обучающимся учитель обращался спокойным,  уверенным,  эмоциональным тоном.  У учителя получилось одинаково распределить  своё внимание  на учеников.
5;299;П1.1;07.02.2022;79;533;534;532;0;0;0;10;;;;17;;;;10;;;;Взаимодействие  педагога с учениками  100%. Учитель распределил  внимание на всех учеников. Тон спокойный, уверенный, обращается к ученикам по полному имени. Учитель обращался  к каждому ученику, задавая вопросы по теме урока. Дети шли на контакт. Если ученик затруднялся с ответом на вопрос, то давал возможность ответить другим ученикам. Учитель старался  рааспределить  внимание на учеников одинаково - и это у него получилось.
6;815;П1.1;07.02.2022;133;726;725;724;0;0;0;10;;;;25;;;;8;;;;Работой удовлетворенны, но нужно поработать с теми детьми, которые не очень активно работают с учителем.
7;83;П1.1;08.02.2022;83;561;562;560;0;0;0;6;;;;28;;;;6;;;;Учитель взаимодействовал на уроке со всеми обучающимися. Внимание было равномерно распределено между сильными и слабыми учениками.
8;80;П1.1;09.02.2022;1;665;664;663;0;4;0;11;;;;54;;;;11;;;;удовлетворена
9;88;П1.1;09.02.2022;83;562;561;560;0;0;0;8;;;;30;;;;8;;;;Больше внимания уделять слабым ученикам, стимулировать их к ответам.
10;973;П1.1;09.02.2022;132;719;721;720;0;0;0;4;;;;18;;;;4;;;;Работой удовлетворены. Никаких изменений на уроке не требуется.
11;1070;П1.1;11.02.2022;133;725;726;724;0;0;0;12;;;;42;;;;10;;;;уроком удовлетворены. Нужно включить в работу новые приемы, чтобы все дети начали активно взаимодействовать с педагогом.
12;233;П1.1;12.02.2022;70;494;493;492;0;0;0;2;;;;8;;;;2;;;;"Урок русского языка в 4 классе по теме ""Сочинение-отзыв по картине Н. К. Рериха «Заморские гости». От урока только положительные отзывы и эмоции. Но не хватает динимики урока, хотя детки в классе со статусом ОВЗ (ЗПР). Дети охотно отвечают по теме урока, педагог охватывает вниманием весь класс(2 ученика), работает с ними весь урок в тесном контакте."
13;876;П1.1;13.02.2022;96;625;624;623;0;0;0;6;;;;35;;;;6;;;;На знание и запоминание таблицы сложения с переодом через десяток использовать игровые моменты
