;org_id;protocols;protocols_base;protocols_complicated;protocols_targeted;curators;teachers;prot_templates;protocols_per_teacher;pupils_mean;interval_mean;interval_std;scope_m;pupils_m;pupils_d_mean;interactions_m;interactions_d_mean;attention_m;attention_d_mean;vector_interact_m;vector_intention_m;vector_attention_m
0;1;28;10;14;4;3;8;9;3.5;8.89;21.0;13.0;0.99;0.49;0.37;0.53;0.35;0.5;0.37;-0.04;-0.01;-0.03
1;68;43;16;19;8;4;8;14;5.4;22.16;9.0;4.0;0.92;0.41;0.34;0.48;0.35;0.39;0.34;-0.06;-0.01;-0.03
2;69;8;2;6;0;1;2;4;4.0;3.62;19.0;8.0;1.0;0.49;0.32;0.49;0.29;0.49;0.32;-0.02;0.0;-0.02
3;70;14;6;5;3;1;2;8;7.0;1.5;12.0;7.0;1.0;0.75;0.25;0.77;0.24;0.75;0.25;-0.02;0.0;-0.02
4;71;16;4;8;4;1;2;9;8.0;10.12;10.0;5.0;0.95;0.49;0.39;0.56;0.38;0.5;0.39;-0.07;-0.02;-0.05
5;72;6;0;6;0;1;2;4;3.0;5.0;5.0;2.0;1.0;0.42;0.4;0.57;0.4;0.38;0.41;-0.18;0.0;-0.04
6;73;12;4;8;0;1;2;6;6.0;8.33;14.0;7.0;1.0;0.45;0.38;0.52;0.36;0.45;0.38;-0.08;0.0;-0.08
7;74;12;8;0;4;1;2;4;6.0;13.83;7.0;7.0;0.71;0.43;0.35;0.66;0.37;0.5;0.35;-0.27;-0.07;-0.07
8;75;10;5;5;0;1;2;8;5.0;4.0;16.0;11.0;0.95;0.53;0.45;0.53;0.38;0.42;0.35;-0.0;0.1;-0.1
9;76;10;2;6;2;1;2;6;5.0;7.0;16.0;9.0;1.0;0.43;0.37;0.52;0.35;0.43;0.37;-0.09;0.0;-0.13
10;77;9;6;3;0;1;2;4;4.5;10.44;19.0;20.0;0.81;0.44;0.32;0.46;0.33;0.47;0.33;-0.02;-0.02;0.0
11;78;24;6;14;4;2;4;8;6.0;5.38;14.0;7.0;0.93;0.38;0.3;0.44;0.29;0.41;0.29;-0.11;-0.03;-0.06
12;79;22;8;8;6;2;4;9;5.5;9.18;13.0;9.0;0.95;0.4;0.31;0.46;0.29;0.47;0.32;-0.06;-0.03;-0.05
13;80;23;6;12;5;2;4;9;5.8;12.04;12.0;12.0;0.89;0.41;0.35;0.45;0.32;0.44;0.33;-0.05;-0.01;-0.04
14;81;8;1;0;7;1;2;5;4.0;7.5;25.0;11.0;0.98;0.38;0.26;0.4;0.26;0.39;0.26;-0.01;-0.01;-0.02
15;82;16;4;8;4;1;2;8;8.0;9.38;10.0;5.0;0.81;0.45;0.33;0.62;0.34;0.52;0.31;-0.14;-0.07;-0.09
16;83;8;2;4;2;1;3;7;2.7;6.0;20.0;8.0;1.0;0.48;0.39;0.6;0.41;0.48;0.39;-0.1;0.0;-0.1
17;84;12;4;6;2;1;2;8;6.0;5.33;13.0;10.0;1.0;0.51;0.39;0.55;0.37;0.51;0.39;-0.03;0.0;-0.03
18;85;14;6;4;4;1;2;7;7.0;9.0;12.0;7.0;0.86;0.62;0.36;0.77;0.31;0.68;0.32;-0.11;-0.06;-0.09
19;86;20;7;11;2;2;4;11;5.0;12.1;15.0;15.0;0.87;0.5;0.37;0.61;0.37;0.53;0.37;-0.09;-0.04;-0.08
20;87;14;8;3;3;1;2;8;7.0;8.86;12.0;5.0;0.86;0.2;0.24;0.25;0.25;0.23;0.25;-0.05;-0.03;-0.03
21;88;24;8;6;10;2;4;9;6.0;4.46;14.0;10.0;0.97;0.46;0.34;0.52;0.34;0.47;0.34;-0.04;-0.01;-0.03
22;89;14;4;8;2;2;3;7;4.7;4.93;12.0;11.0;1.0;0.6;0.29;0.65;0.27;0.58;0.29;-0.04;0.0;-0.04
23;90;12;4;8;0;1;2;7;6.0;6.0;13.0;7.0;1.0;0.33;0.37;0.32;0.34;0.33;0.37;0.02;0.0;0.02
24;91;21;7;10;4;2;4;12;5.2;3.05;10.0;8.0;0.93;0.51;0.31;0.69;0.31;0.6;0.23;-0.11;-0.09;0.0
25;92;10;4;4;2;1;2;8;5.0;7.6;17.0;12.0;0.95;0.57;0.38;0.58;0.38;0.57;0.38;-0.02;0.0;-0.02
26;93;12;4;6;2;1;2;7;6.0;8.25;12.0;6.0;0.97;0.38;0.41;0.43;0.41;0.38;0.41;-0.07;0.0;-0.07
27;94;38;6;15;17;1;4;13;9.5;7.92;9.0;8.0;1.0;0.41;0.32;0.42;0.32;0.4;0.32;0.01;0.0;0.0
28;95;18;6;4;8;1;2;11;9.0;3.33;8.0;3.0;1.0;0.6;0.38;0.63;0.35;0.6;0.38;-0.02;0.0;-0.02
29;96;12;4;5;3;1;2;9;6.0;5.0;12.0;9.0;1.0;0.55;0.36;0.59;0.38;0.55;0.36;-0.06;0.0;-0.06
30;97;12;2;6;4;1;3;7;4.0;2.92;13.0;10.0;1.0;0.61;0.14;0.63;0.19;0.61;0.14;0.02;0.0;0.02
31;98;12;0;8;4;1;2;6;6.0;3.0;12.0;8.0;1.0;0.49;0.31;0.72;0.3;0.47;0.31;-0.11;0.0;-0.09
32;99;8;6;0;2;3;6;3;1.3;7.5;7.0;0.0;0.69;0.55;0.35;;;0.55;0.35;;0.0;
33;100;16;1;11;4;2;4;10;4.0;16.88;19.0;9.0;0.8;0.49;0.36;0.49;0.37;0.51;0.36;-0.01;-0.02;0.0
34;101;27;11;8;8;2;4;7;6.8;17.56;13.0;10.0;0.79;0.54;0.37;0.65;0.32;0.59;0.36;-0.09;-0.05;-0.04
35;102;9;1;4;4;1;2;7;4.5;2.0;19.0;14.0;1.0;0.44;0.38;0.45;0.37;0.43;0.36;0.01;0.0;0.03
36;103;11;7;2;2;2;4;4;2.8;7.82;20.0;11.0;0.84;0.38;0.38;0.56;0.32;0.44;0.32;-0.18;-0.06;-0.12
37;104;22;2;14;6;3;4;7;5.5;3.95;15.0;13.0;0.99;0.51;0.28;0.54;0.25;0.52;0.27;-0.06;-0.01;-0.06
38;105;16;6;6;4;1;2;10;8.0;6.75;10.0;6.0;1.0;0.43;0.33;0.42;0.34;0.43;0.33;0.02;0.0;0.02
39;106;13;2;6;5;1;2;8;6.5;6.0;11.0;7.0;1.0;0.33;0.29;0.38;0.3;0.4;0.31;-0.07;-0.07;-0.03
40;107;6;0;6;0;1;2;3;3.0;7.83;18.0;14.0;1.0;0.32;0.34;0.35;0.33;0.32;0.34;-0.03;0.0;-0.03
41;108;20;8;7;5;2;4;12;5.0;24.25;12.0;16.0;0.71;0.53;0.37;0.58;0.36;0.61;0.36;-0.06;-0.04;-0.01
42;109;6;2;4;0;1;2;3;3.0;30.17;15.0;1.0;0.85;0.6;0.37;0.64;0.36;0.62;0.36;-0.04;-0.02;-0.02
43;110;23;7;8;8;2;4;9;5.8;19.26;15.0;8.0;0.68;0.56;0.35;0.59;0.36;0.59;0.37;-0.03;-0.04;-0.09
44;111;53;17;22;14;3;7;17;7.6;19.51;9.0;6.0;0.86;0.5;0.36;0.49;0.38;0.53;0.36;-0.04;-0.03;-0.01
45;112;49;13;23;13;5;8;15;6.1;26.18;11.0;11.0;0.69;0.55;0.36;0.64;0.33;0.6;0.34;-0.09;-0.05;-0.03
46;113;22;4;14;4;2;3;9;7.3;7.45;11.0;9.0;1.0;0.6;0.39;0.68;0.36;0.6;0.39;-0.07;0.0;-0.07
47;114;35;12;15;8;1;4;10;8.8;3.43;9.0;7.0;1.0;0.47;0.15;0.47;0.12;0.46;0.14;0.01;0.01;-0.01
48;115;10;0;8;2;1;2;6;5.0;7.5;10.0;6.0;0.96;0.42;0.41;0.6;0.38;0.45;0.41;-0.18;-0.02;-0.16
49;116;10;0;10;0;1;2;3;5.0;7.0;12.0;10.0;1.0;0.51;0.29;0.49;0.3;0.49;0.29;0.02;0.01;0.01
50;117;24;2;6;16;2;4;11;6.0;14.5;14.0;7.0;0.92;0.5;0.36;0.59;0.36;0.52;0.35;-0.1;-0.01;-0.09
51;118;48;13;24;11;4;10;15;4.8;18.6;11.0;8.0;0.85;0.56;0.37;0.61;0.37;0.59;0.37;-0.06;-0.03;-0.01
52;119;43;9;28;6;5;10;12;4.3;17.51;20.0;18.0;0.78;0.41;0.23;0.53;0.25;0.47;0.26;-0.06;-0.04;-0.04
