;org_id;protocols;protocols_base;protocols_complicated;protocols_targeted;curators;teachers;prot_templates;protocols_per_teacher;pupils_mean;satisfaction;wish_to_change;interval_mean;interval_std;scope_m;pupils_m;pupils_d_mean;interactions_m;interactions_d_mean;attention_m;attention_d_mean;vector_interact_m;vector_intention_m;vector_attention_m
0;1;31;18;6;7;3;8;8;3.9;8.42;3.36;2.32;26.0;20.0;0.93;0.44;0.39;0.55;0.38;0.48;0.38;-0.13;-0.04;-0.03
1;68;19;8;8;3;3;6;8;3.2;18.63;3.46;2.54;33.0;41.0;0.98;0.54;0.35;0.58;0.33;0.49;0.33;-0.03;-0.0;0.0
2;69;24;8;8;8;1;2;12;12.0;5.29;3.0;2.75;8.0;8.0;1.0;0.5;0.36;0.53;0.41;0.5;0.35;-0.01;0.0;
3;70;21;10;9;2;1;2;11;10.5;2.0;3.0;2.57;10.0;6.0;1.0;0.32;0.32;0.37;0.37;0.33;0.33;0.0;0.0;-0.0
4;71;18;6;6;6;1;3;9;6.0;10.56;3.88;2.25;9.0;6.0;0.95;0.49;0.39;0.56;0.35;0.53;0.38;-0.12;-0.02;
5;72;14;7;4;3;1;2;10;7.0;5.93;;;13.0;10.0;0.84;0.5;0.35;0.42;0.42;0.58;0.34;-0.01;-0.09;0.08
6;73;11;5;3;3;1;2;7;5.5;6.64;;;19.0;9.0;1.0;0.53;0.37;0.44;0.39;0.53;0.37;0.1;0.0;0.1
7;74;16;12;3;1;1;2;9;8.0;14.81;4.0;1.36;13.0;8.0;0.73;0.53;0.38;0.54;0.41;0.55;0.38;0.04;-0.02;0.01
8;75;16;6;6;4;1;2;9;8.0;3.69;3.3;3.0;14.0;10.0;0.96;0.53;0.3;0.57;0.41;0.57;0.3;-0.07;-0.04;-0.07
9;76;23;4;9;10;1;2;12;11.5;6.65;3.0;2.5;9.0;7.0;1.0;0.43;0.38;;;0.43;0.38;;0.0;
10;77;8;4;4;0;1;2;4;4.0;9.0;3.0;2.0;24.0;13.0;0.85;0.56;0.32;0.68;0.37;0.62;0.31;-0.17;0.0;
11;78;28;9;10;9;2;4;10;7.0;6.14;3.58;2.42;12.0;15.0;1.0;0.46;0.35;0.51;0.36;0.46;0.34;-0.02;0.0;-0.03
12;79;34;10;12;12;2;4;11;8.5;10.03;3.71;2.12;10.0;6.0;0.9;0.4;0.33;0.6;0.36;0.44;0.32;-0.06;-0.04;-0.06
13;80;22;6;8;8;2;8;6;2.8;10.32;2.94;2.71;22.0;6.0;0.93;0.53;0.35;0.62;0.36;0.57;0.34;-0.04;-0.03;-0.01
14;81;11;0;0;11;2;4;4;2.8;8.09;3.67;3.0;25.0;20.0;0.96;0.39;0.31;0.41;0.32;0.4;0.31;0.0;-0.01;
15;82;21;12;2;7;1;2;9;10.5;10.38;3.92;1.33;10.0;7.0;0.72;0.46;0.37;0.66;0.38;0.55;0.37;-0.1;-0.09;-0.02
16;83;14;2;4;8;1;2;6;7.0;6.93;3.0;2.17;16.0;10.0;1.0;0.43;0.41;0.56;0.42;0.43;0.41;-0.12;0.0;
17;84;32;6;16;10;1;2;13;16.0;5.72;3.08;2.08;5.0;6.0;0.98;0.5;0.41;;;0.49;0.41;;0.01;
18;85;18;8;6;4;1;2;8;9.0;9.0;3.43;2.5;12.0;12.0;0.81;0.55;0.42;0.71;0.42;0.56;0.43;-0.17;-0.02;
19;86;16;8;4;4;2;4;4;4.0;11.38;3.82;1.47;27.0;11.0;0.98;0.47;0.36;0.28;0.25;0.49;0.35;0.05;-0.01;0.05
20;87;20;8;6;6;1;2;6;10.0;9.05;3.07;3.14;10.0;5.0;0.89;0.4;0.35;0.48;0.39;0.42;0.35;-0.04;-0.02;-0.04
21;88;18;8;6;4;2;4;8;4.5;5.39;3.5;2.33;24.0;20.0;0.92;0.47;0.3;;;0.49;0.3;;-0.01;
22;89;24;8;7;9;2;4;9;6.0;5.5;3.5;1.75;18.0;14.0;1.0;0.53;0.33;;;0.53;0.33;;0.0;
23;90;13;3;4;6;1;2;7;6.5;6.0;3.67;1.5;17.0;12.0;1.0;0.33;0.37;0.33;0.37;0.33;0.37;-0.0;0.0;
24;91;31;11;14;6;3;6;8;5.2;4.52;3.26;2.16;17.0;16.0;0.97;0.45;0.28;0.54;0.32;0.44;0.28;-0.05;0.02;-0.03
25;92;16;6;5;5;1;2;9;8.0;9.62;3.62;2.12;12.0;11.0;0.96;0.55;0.38;;;0.54;0.38;;0.01;
26;93;22;7;7;8;1;2;12;11.0;7.45;2.92;2.17;8.0;4.0;0.99;0.44;0.4;;;0.45;0.4;;-0.01;
27;94;31;7;8;16;1;4;7;7.8;7.97;3.87;2.13;15.0;13.0;1.0;0.48;0.37;0.46;0.37;0.48;0.37;0.0;0.0;0.0
28;95;20;8;6;6;1;2;10;10.0;3.95;3.24;2.59;8.0;3.0;1.0;0.57;0.41;0.62;0.39;0.57;0.4;-0.06;0.0;0.0
29;96;11;4;0;7;1;2;5;5.5;5.82;3.33;1.67;22.0;18.0;0.82;0.52;0.37;0.66;0.38;0.5;0.34;-0.12;0.02;
30;97;22;6;8;8;1;2;11;11.0;2.64;2.83;2.92;10.0;5.0;0.96;0.56;0.09;0.5;0.15;0.56;0.08;0.07;0.0;
31;98;25;7;10;8;1;2;13;12.5;3.0;3.3;2.7;8.0;5.0;1.0;0.3;0.25;0.25;0.23;0.27;0.25;-0.0;0.03;0.08
32;99;19;10;4;5;3;6;8;3.2;6.26;3.25;1.25;22.0;28.0;0.83;0.68;0.37;0.69;0.39;0.53;0.12;-0.04;0.2;-0.11
33;100;24;10;8;6;2;4;14;6.0;15.79;3.83;1.83;14.0;11.0;0.82;0.51;0.39;0.42;0.39;0.55;0.37;-0.06;-0.03;0.0
34;101;40;12;16;12;2;4;10;10.0;18.32;3.56;1.93;10.0;8.0;0.8;0.53;0.37;0.6;0.36;0.56;0.37;-0.03;-0.04;
35;102;10;0;5;5;1;2;6;5.0;2.0;2.5;3.25;22.0;11.0;1.0;0.38;0.38;0.31;0.37;0.39;0.37;0.06;-0.02;0.06
36;103;14;2;8;4;2;4;6;3.5;8.29;2.82;2.9;22.0;15.0;0.97;0.54;0.36;0.66;0.38;0.54;0.35;-0.12;-0.01;
37;104;15;4;4;7;2;4;9;3.8;5.2;3.68;1.82;19.0;10.0;1.0;0.52;0.35;0.5;0.37;0.52;0.35;0.04;0.0;0.04
38;105;22;8;8;6;1;2;11;11.0;6.82;3.69;1.5;9.0;5.0;0.98;0.45;0.37;0.46;0.38;0.43;0.36;-0.0;0.0;0.01
39;106;7;3;1;3;1;2;7;3.5;3.57;;;33.0;16.0;1.0;0.46;0.43;0.71;0.45;0.42;0.42;-0.16;0.0;-0.21
40;107;19;4;10;5;1;2;8;9.5;6.11;3.17;2.83;11.0;5.0;0.98;0.4;0.35;0.36;0.32;0.39;0.34;0.01;-0.0;-0.01
41;108;38;12;12;14;2;4;12;9.5;24.29;;;10.0;13.0;0.72;0.51;0.35;0.55;0.33;0.52;0.34;-0.07;-0.02;0.02
42;109;10;0;6;4;1;2;5;5.0;29.1;3.33;2.67;22.0;5.0;0.84;0.64;0.37;0.59;0.4;0.65;0.37;0.04;-0.01;0.04
43;110;17;6;6;5;2;4;8;4.2;19.12;3.33;3.11;19.0;14.0;0.77;0.52;0.36;0.33;0.4;0.49;0.36;0.13;0.03;0.09
44;111;75;18;32;25;4;8;18;9.4;20.16;3.38;2.0;10.0;7.0;0.81;0.5;0.36;0.46;0.31;0.52;0.36;0.02;-0.02;0.01
45;112;35;20;2;13;4;8;11;4.4;26.57;3.55;2.62;17.0;10.0;0.66;0.52;0.35;0.46;0.36;0.58;0.34;0.01;-0.06;0.05
46;113;56;20;18;18;2;4;15;14.0;8.14;3.86;1.59;7.0;6.0;0.99;0.49;0.34;;;0.49;0.34;;0.0;
47;114;34;8;12;14;1;4;9;8.5;2.85;3.63;2.38;7.0;5.0;1.0;0.51;0.12;;;0.51;0.12;;0.0;
48;115;12;2;6;4;1;2;6;6.0;10.42;3.43;1.67;16.0;13.0;1.0;0.57;0.41;0.62;0.41;0.59;0.4;-0.12;0.0;
49;116;7;4;3;0;1;2;3;3.5;8.43;2.8;2.8;30.0;11.0;1.0;0.61;0.34;0.55;0.32;0.61;0.39;0.06;0.0;
50;117;24;4;9;11;2;4;8;6.0;17.62;3.92;1.67;18.0;12.0;0.76;0.5;0.35;;;0.51;0.36;;-0.01;
51;118;27;5;9;13;4;8;10;3.4;17.15;3.6;2.64;12.0;5.0;0.85;0.59;0.38;;;0.62;0.38;;-0.03;
52;119;40;15;14;11;5;10;10;4.0;17.82;3.0;2.22;25.0;23.0;0.71;0.42;0.35;0.51;0.36;0.45;0.36;0.01;-0.03;0.0
