;teacher_id;org_id;protocols;protocols_base;protocols_complicated;protocols_targeted;curators;teachers;prot_templates;pupils_mean;satisfaction;wish_to_change;interval_mean;interval_std;scope_m;pupils_m;pupils_d_mean;interactions_m;interactions_d_mean;attention_m;attention_d_mean;vector_interact_m;vector_intention_m;vector_attention_m
0;472;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
1;473;71.0;8;2;4;2;1;1;8;7.5;3.75;2.25;11.0;5.0;0.97;0.48;0.41;0.5;0.39;0.49;0.41;-0.02;-0.01;-0.01
2;474;71.0;8;2;4;2;1;1;8;12.75;4.0;2.25;10.0;6.0;0.93;0.5;0.38;0.61;0.37;0.52;0.37;-0.11;-0.02;-0.09
3;477;72.0;3;0;3;0;1;1;3;5.0;;;5.0;3.0;1.0;0.48;0.41;0.57;0.39;0.42;0.45;-0.16;0.0;0.0
4;478;72.0;3;0;3;0;1;1;3;5.0;;;5.0;3.0;1.0;0.37;0.39;0.58;0.41;0.35;0.39;-0.21;0.0;-0.08
5;481;73.0;6;2;4;0;1;1;6;8.33;;;14.0;7.0;1.0;0.47;0.37;0.6;0.39;0.47;0.37;-0.12;0.0;-0.14
6;482;73.0;6;2;4;0;1;1;6;8.33;;;14.0;8.0;1.0;0.42;0.38;0.45;0.32;0.44;0.39;-0.03;0.0;-0.02
7;485;69.0;4;1;3;0;1;1;4;4.25;2.75;3.0;19.0;8.0;1.0;0.6;0.37;0.53;0.33;0.6;0.37;-0.0;0.0;-0.0
8;486;69.0;4;1;3;0;1;1;4;3.0;3.25;2.5;19.0;11.0;1.0;0.39;0.27;0.44;0.25;0.39;0.27;-0.03;0.0;-0.03
9;489;74.0;6;4;0;2;1;1;4;13.83;4.0;1.6;8.0;7.0;0.79;0.38;0.34;0.62;0.35;0.44;0.33;-0.27;-0.06;-0.04
10;490;74.0;6;4;0;2;1;1;4;13.83;4.0;1.17;7.0;7.0;0.62;0.47;0.36;0.7;0.4;0.55;0.36;-0.27;-0.08;-0.1
11;493;70.0;7;3;3;1;1;1;7;2.0;3.0;2.71;11.0;7.0;1.0;0.5;0.5;0.54;0.49;0.5;0.5;-0.04;0.0;-0.04
12;494;70.0;7;3;2;2;1;1;7;1.0;3.0;2.43;12.0;8.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
13;497;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
14;498;75.0;5;2;3;0;1;1;5;4.0;3.4;3.0;16.0;10.0;1.0;0.54;0.44;0.63;0.41;0.54;0.44;-0.09;0.0;-0.09
15;501;76.0;5;1;3;1;1;1;5;7.0;3.0;2.5;16.0;10.0;1.0;0.43;0.32;0.5;0.32;0.43;0.32;-0.07;0.0;-0.09
16;502;76.0;5;1;3;1;1;1;5;7.0;3.0;2.5;16.0;10.0;1.0;0.43;0.42;0.55;0.39;0.43;0.42;-0.12;0.0;-0.19
17;505;77.0;5;3;2;0;1;1;4;10.4;3.0;2.5;17.0;21.0;0.76;0.42;0.34;0.43;0.4;0.45;0.35;-0.02;-0.03;0.02
18;506;77.0;4;3;1;0;1;1;4;10.5;3.0;1.5;22.0;22.0;0.86;0.5;0.27;0.53;0.2;0.5;0.29;-0.03;0.0;-0.03
19;510;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
20;512;68.0;5;2;2;1;1;1;5;22.8;;;10.0;8.0;0.91;0.28;0.29;0.34;0.29;0.31;0.29;-0.07;-0.03;-0.07
21;514;68.0;5;2;3;0;1;1;4;19.2;;;10.0;6.0;0.81;0.48;0.37;0.59;0.37;0.38;0.36;-0.11;0.02;-0.06
22;515;68.0;5;2;3;0;1;1;4;18.8;;;10.0;5.0;0.9;0.48;0.37;0.66;0.36;0.49;0.36;-0.17;-0.02;-0.13
23;517;68.0;8;3;3;2;1;1;7;25.38;3.38;2.88;6.0;4.0;1.0;0.35;0.38;0.33;0.38;0.33;0.38;0.03;0.02;0.0
24;518;68.0;6;2;2;2;1;1;6;24.33;3.6;2.0;7.0;0.0;1.0;0.55;0.35;0.55;0.37;0.55;0.35;-0.04;-0.0;-0.04
25;520;68.0;5;2;3;0;1;1;5;21.8;;;7.0;1.0;0.81;0.49;0.37;0.53;0.35;0.51;0.4;-0.03;-0.05;0.06
26;521;68.0;4;1;2;1;1;1;4;22.0;;;10.0;4.0;0.73;0.5;0.37;0.57;0.38;0.54;0.4;-0.07;-0.08;0.0
27;526;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
28;527;81.0;4;1;0;3;1;1;4;7.75;4.0;3.0;24.0;15.0;0.96;0.47;0.28;0.46;0.28;0.49;0.28;0.01;-0.02;0.02
29;528;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
30;529;81.0;4;0;0;4;1;1;4;7.25;3.0;3.0;25.0;10.0;1.0;0.31;0.24;0.34;0.23;0.29;0.25;-0.03;0.0;-0.07
