;teacher_id;org_id;protocols;protocols_base;protocols_complicated;protocols_targeted;curators;teachers;prot_templates;pupils_mean;satisfaction;wish_to_change;interval_mean;interval_std;scope_m;pupils_m;pupils_d_mean;interactions_m;interactions_d_mean;attention_m;attention_d_mean;vector_interact_m;vector_intention_m;vector_attention_m;scope_m_diff;pupils_m_diff;pupils_d_mean_diff;interactions_m_diff;interactions_d_mean_diff;attention_m_diff;attention_d_diff;vector_interact_m_diff;vector_intention_m_diff;vector_attention_m_diff
0;472;71.0;3;1;1;1;1;1;3;9.67;;;8.0;2.0;1.0;0.4;0.37;;;0.4;0.37;;0.0;;;;;;;;;;;
1;473;71.0;14;4;6;4;1;1;13;10.07;3.75;2.25;9.0;5.0;0.96;0.47;0.4;0.49;0.39;0.52;0.4;-0.04;-0.02;-0.01;-0.04999999999999993;-0.010000000000000009;-0.019999999999999962;-0.030000000000000027;-0.010000000000000009;0.12;-0.02999999999999997;-0.09;-0.019999999999999997;
2;474;71.0;17;5;7;5;1;1;15;10.71;4.0;2.25;10.0;7.0;0.93;0.51;0.38;0.62;0.36;0.53;0.38;-0.12;-0.02;-0.09;0.0;0.030000000000000027;0.010000000000000009;0.050000000000000044;-0.03999999999999998;0.030000000000000027;0.020000000000000018;-0.020000000000000004;0.0;
3;477;72.0;8;3;5;0;1;1;7;5.38;;;15.0;15.0;0.87;0.45;0.38;0.52;0.37;0.47;0.39;-0.11;-0.06;0.04;-0.17000000000000004;-0.06;-0.06999999999999995;-0.14999999999999997;-0.04999999999999999;0.08000000000000002;-0.09000000000000002;0.16;-0.08;0.08
4;478;72.0;12;4;5;3;1;1;11;5.83;;;9.0;4.0;0.87;0.47;0.36;0.53;0.44;0.54;0.34;-0.14;-0.06;-0.0;-0.16000000000000003;0.16000000000000003;-0.040000000000000036;-0.14999999999999997;0.08000000000000002;0.26;-0.06;0.19999999999999998;-0.09;0.15000000000000002
5;481;73.0;12;5;5;2;1;1;11;8.17;;;16.0;8.0;1.0;0.47;0.37;0.53;0.39;0.47;0.37;-0.05;0.0;-0.01;0.0;-0.009999999999999953;-0.010000000000000009;-0.18;0.0;-0.009999999999999953;-0.010000000000000009;0.16999999999999998;0.0;0.19
6;482;73.0;11;4;6;1;1;1;10;6.82;;;17.0;9.0;1.0;0.5;0.38;0.45;0.35;0.53;0.38;0.04;0.0;0.09;0.0;0.18;-0.010000000000000009;0.0;0.08000000000000002;0.15999999999999998;-0.020000000000000018;0.18;0.0;0.16999999999999998
7;485;69.0;16;5;7;4;1;1;15;5.31;2.75;3.0;10.0;9.0;1.0;0.55;0.4;0.53;0.37;0.56;0.39;-0.01;0.0;-0.0;0.0;-0.06999999999999995;0.03999999999999998;-0.010000000000000009;0.08999999999999997;-0.06999999999999995;0.03999999999999998;-0.02;0.0;
8;486;69.0;16;5;7;4;1;1;15;4.44;3.25;2.5;10.0;10.0;1.0;0.46;0.31;0.49;0.33;0.44;0.29;-0.01;0.0;-0.03;0.0;0.08999999999999997;0.04999999999999999;0.10000000000000003;0.15999999999999998;0.07;0.019999999999999962;0.04;0.0;
9;489;74.0;14;10;1;3;1;1;10;14.0;4.0;1.6;11.0;10.0;0.79;0.44;0.35;0.62;0.35;0.49;0.35;-0.27;-0.05;-0.04;-0.010000000000000009;0.12;0.02999999999999997;;;0.10000000000000003;0.03999999999999998;;0.019999999999999997;
10;490;74.0;14;10;2;2;1;1;11;14.79;4.0;1.17;10.0;6.0;0.65;0.52;0.38;0.62;0.41;0.56;0.38;-0.11;-0.04;-0.04;0.06000000000000005;0.09999999999999998;0.040000000000000036;-0.15999999999999992;0.009999999999999953;0.019999999999999907;0.030000000000000027;0.31;0.08;0.11
11;493;70.0;18;8;8;2;1;1;11;2.0;3.0;2.71;10.0;6.0;1.0;0.5;0.5;0.5;0.49;0.5;0.5;-0.0;0.0;-0.01;0.0;0.0;0.0;-0.07000000000000006;0.010000000000000009;0.0;0.0;0.07;0.0;0.06
