;prot_id;template_code;date_of_lesson;org_id;teacher_id;observer_id;curator_id;class;satisfaction;wish_to_change;pupils_all;pupils_strong;pupils_middle;pupils_weak;interactions_all;interactions_strong;interactions_middle;interactions_weak;attention_all;attention_strong;attention_middle;attention_weak;teacher_comments;group;level;days;period;day_of_period;interval;scope;pupils_m;pupils_d;attention_m;attention_d;interactions_m;interactions_d;vector_interact;vector_intention;vector_attention
0;816;П1.1;01.02.2022;133;726;725;724;;;;10.0;;;;30.0;;;;10.0;;;;Больше внимания уделять слабым ученикам и мотивировать их на ответы.;Распределение внимания учителя;1;18;1;18;;1.0;;;;;;;;;
1;1162;П1.1;02.02.2022;128;736;735;734;;;;7.0;;;;18.0;;;;6.0;;;;Учитель  уделяет внимание всем учащимся;Распределение внимания учителя;1;19;1;19;;0.8571428571428571;;;;;;;;;
2;1170;П1.1;02.02.2022;128;735;736;734;;;;11.0;;;;17.0;;;;9.0;;;;Уделять внимание не только тем, кто поднимает руку.;Распределение внимания учителя;1;19;1;19;;0.8181818181818182;;;;;;;;;
3;1069;П1.1;04.02.2022;133;725;726;724;;;;12.0;;;;39.0;;;;9.0;;;;Больше внимания уделять слабым ученикам и мотивировать их на ответы.;Распределение внимания учителя;1;21;1;21;;0.75;;;;;;;;;
4;295;П1.1;07.02.2022;79;534;533;532;;;;11.0;;;;18.0;;;;11.0;;;;Своё внимание учитель  распределял на всех обучающихся, поэтому взаимодействие учителя и учеников было постоянным. Учитель ожидал работы от каждого  обучающегося и дети  работали в меру своих возможностей.  У учителя  был постоянный контакт с учениками. Если ученик не мог  сходу ответить  на поставленный вопрос,  то учитель  оказывал небольшую помощь и ребёнок справлялся  с заданием.  К обучающимся учитель обращался спокойным,  уверенным,  эмоциональным тоном.  У учителя получилось одинаково распределить  своё внимание  на учеников.;Распределение внимания учителя;1;24;1;24;;1.0;;;;;;;;;
5;299;П1.1;07.02.2022;79;533;534;532;;;;10.0;;;;17.0;;;;10.0;;;;Взаимодействие  педагога с учениками  100%. Учитель распределил  внимание на всех учеников. Тон спокойный, уверенный, обращается к ученикам по полному имени. Учитель обращался  к каждому ученику, задавая вопросы по теме урока. Дети шли на контакт. Если ученик затруднялся с ответом на вопрос, то давал возможность ответить другим ученикам. Учитель старался  рааспределить  внимание на учеников одинаково - и это у него получилось.;Распределение внимания учителя;1;24;1;24;;1.0;;;;;;;;;
6;815;П1.1;07.02.2022;133;726;725;724;;;;10.0;;;;25.0;;;;8.0;;;;Работой удовлетворенны, но нужно поработать с теми детьми, которые не очень активно работают с учителем.;Распределение внимания учителя;1;24;1;24;6.0;0.8;;;;;;;;;
7;83;П1.1;08.02.2022;83;561;562;560;;;;6.0;;;;28.0;;;;6.0;;;;Учитель взаимодействовал на уроке со всеми обучающимися. Внимание было равномерно распределено между сильными и слабыми учениками.;Распределение внимания учителя;1;25;1;25;;1.0;;;;;;;;;
8;80;П1.1;09.02.2022;1;665;664;663;;4.0;;11.0;;;;54.0;;;;11.0;;;;удовлетворена;Распределение внимания учителя;1;26;1;26;;1.0;;;;;;;;;
9;88;П1.1;09.02.2022;83;562;561;560;;;;8.0;;;;30.0;;;;8.0;;;;Больше внимания уделять слабым ученикам, стимулировать их к ответам.;Распределение внимания учителя;1;26;1;26;;1.0;;;;;;;;;
