;prot_id;template_code;date_of_lesson;org_id;teacher_id;observer_id;curator_id;class;satisfaction;wish_to_change;pupils_all;pupils_strong;pupils_middle;pupils_weak;interactions_all;interactions_strong;interactions_middle;interactions_weak;attention_all;attention_strong;attention_middle;attention_weak;teacher_comments
0;1302;П5.1;09.03.2022;128;735;736;734;0;0;0;10;;;;0;;;;8;;;;
1;1300;П5.1;10.03.2022;128;736;735;734;0;0;0;7;;;;0;;;;7;;;;
2;801;П5.1;11.03.2022;100;684;685;686;0;0;0;14;;;;0;;;;14;;;;Уроком удовлетворена Нужно работать над полными ответами детей. Цель моей работы: работать над развитием речи глубже, больше. Работа проводится, но для достижения цели  необходимо применять ряд заданий.
3;802;П5.1;15.03.2022;100;684;685;686;0;0;0;13;;;;0;;;;13;;;;Методикой время речи удовлетворена, т.к. у обучающихся начальной школы наблюдаются низкие показатели связной речи, что не соответствует современным требованиям. Буду в своей практике пользоваться и дальше данной методикой.
4;1705;П5.1;15.03.2022;77;506;505;504;0;0;0;10;;;;0;;;;10;;;;Удовлетворена.  Проанализировать урок по усложненному протоколу.
5;1704;П5.1;17.03.2022;77;505;506;504;0;0;0;13;;;;0;;;;9;;;;Удовлетворена. Нужно увеличивать поцент отвечающих на уроке. Проводить  биц-опрос, опрос по цепочке.
6;1311;П5.1;29.03.2022;112;783;784;777;0;0;0;18;;;;0;;;;11;;;;удовлетворена удовлетворительном уровне
7;1314;П5.1;29.03.2022;112;784;783;777;0;0;0;26;;;;0;;;;15;;;;удовлетворена удовлетворительном уровне
8;101;П5.1;05.04.2022;84;565;566;564;0;0;0;3;;;;0;;;;3;;;;Да,удолетворена.Но думаю,нужно больше спрашивать детей,давать  им время подумать над вопросом.
9;112;П5.1;05.04.2022;84;566;565;564;0;0;0;9;;;;0;;;;9;;;;"Я не удовлетворена. Нужно сделать так, чтобы на уроке большую часть времени говорили сами ученики, а не учитель. Цель: научить ребят выражать свои мысли, размышлять. К большому сожалению, они не умеют говорить! Думаю, что для достижения цели необходимо ""учить их процессу говорения"", развивать речевой аппарат, пополнять словарный запас."
10;196;П5.1;06.04.2022;111;801;802;792;0;0;0;22;;;;0;;;;14;;;;Не совсем удовлетворена результатом, требуется еще уделить внимание времени ответа детей. Для этого определила категории детей, которым необходимо давать больше времени на ответ. Нужно обратить внимание и на количество задаваемых вопросов..
11;203;П5.1;06.04.2022;111;802;801;792;0;0;0;22;;;;0;;;;13;;;;Не совсем удовлетворена резудльтатом. Сложно рассчитать время ответа обучающегося. Необходимо увеличить время наответ для определенной категории детей, попробовать сократить количество вопросов и поработать над содержанием проблемных вопросов.
12;231;П5.1;07.04.2022;70;493;494;492;0;0;0;2;;;;0;;;;2;;;;Ребёнку с ОВЗ нужно больше времени для ответа, он дольше концентрирует своё внимание, чем обычный  ученик. Он медленнее говорит, нескоько раз повторяет одно и то же слово или фразу. Но у него есть желание отвечать, рассуждать, и это похвально. Главное, не отбить это желание.
13;532;П5.1;08.04.2022;133;728;729;727;0;0;0;12;;;;0;;;;8;;;;Да, урок прошёл плодотворно. Используемые формы организации учебной деятельности –  беседа, парная работа, развивается умение работать в паре, приходить к общему мнению, принимать и уважать мнение другого.
14;264;П5.1;12.04.2022;75;498;497;496;0;0;0;1;;;;0;;;;1;;;;обращать внимание на полные и правилные ответы учащихся на поставленные вопросы.  Добиваться активности учащихся при работе на уроках, владением терминалогией по предмету.
15;259;П5.1;14.04.2022;75;497;498;496;0;0;0;5;;;;0;;;;5;;;;Удовлетворина в целом, но буду стремиться к тому чтобы дети более полно отвечали на вопросы и правильно излагали свои мысли. Больше творческих заданий давать не только на уроках, но и внеурочной деятельности, прививать любовь к чтению.
16;627;П5.1;21.04.2022;74;490;489;488;0;0;0;15;;;;0;;;;8;;;;Да, урок прошёл плодотворно. Используемые формы организации учебной деятельности – эвристическая беседа, парная работа по составлению и корректировке плана совместной работы), обсуждение и выбор варианта схемы – логической цепочки были направлены на развитие у детей регулятивных УУД (умение ставить цель, составлять план реализации поставленной цели), коммуникативных УУД (умение работать в паре, приходить к общему мнению, принимать и уважать мнение другого) и учебно-познавательных УУД (умение работать с методическим аппаратом учебника, свёртывать информацию, представлять ее схематичной модельной форме).
17;237;П5.1;22.04.2022;70;494;493;492;0;0;0;2;;;;0;;;;2;;;;Дети на уроке работают, но мальчик активнее. Время его ответов короче, чем время ответов девочки. У неё дефект речи. Она слабее, медлительней, скованней (в силу своих психофизических особенностей).  У неё нет особой заинтересованности. Учитель много работает с ней, вовлекая в работу, подхваливая. Терпеливо добиваются сообща правильных ответов.
18;623;П5.1;26.04.2022;74;489;490;488;0;0;0;13;;;;0;;;;9;;;;Да, урок прошёл плодотворно. Используемые формы организации учебной деятельности –  беседа, парная работа, развивается умение работать в паре, приходить к общему мнению, принимать и уважать мнение другого, умение работать с методическим аппаратом учебника, свёртывать информацию.
19;1497;П5.1;05.05.2022;121;905;906;909;0;0;0;10;;;;0;;;;8;;;;Уроком и работой на нём удовлетворена. Каждый ученик отвечает на поставленные вопросы за комфортное для него время. Стоит обратить внимание ребят на тот факт, что каждый индивидуален, скорости мышления разные, для того чтобы предотвратить ответы за ученика, которому был задан вопрос. 
20;1499;П5.1;13.05.2022;121;907;908;911;0;0;0;8;;;;0;;;;6;;;;Удовлетворена, как достичь цель понимаю.
21;1115;П5.1;16.05.2022;113;826;827;825;0;0;0;8;;;;0;;;;8;;;;Цель урока достигнута. Этапы урока были логически тесно свзаны между собой, чередовались различные виды деятельности. Содержание урока соответствовало поставленной цели. На уроке были использованы упражнения на интерактивной доске. Дети показали хороший уровень усвоения материала.Учебная информация была привлекательна для детей.
22;476;П5.1;16.05.2022;113;830;829;828;0;0;0;5;;;;0;;;;5;;;;На уроке были задействованы все учащиеся, они быстро включились в урок. Урок получился динамичным, но считаю, что на некоторых этапах урока стоило больше времени выделить. В целом урок прошел хорошо. 
23;1605;П5.1;16.05.2022;121;903;904;910;0;0;0;18;;;;0;;;;18;;;;"поднимают руку те ученики, которые знают ответ и говорят очень быстро, даже если он неверный.  Учитель старался охватить весь класс и спрашивал даже тех, кто руку не поднимал, а значит у них время на ответ уходило гораздо больше. Дети в основном давали односложные ответы, учителю нужно приучать к развёрнутым ответам и давать время на размышление детям, у которых трудности. Слабым детям задавать ""наводящие"" вопросы."
