code;id;title;group;level;protocols_df_name
П1.1;1;Базовый протокол «Распределение внимания учителя»;Распределение внимания учителя;1;protocols_1_1
П1.2;3;Усложненный протокол «Распределение внимания учителя»;Распределение внимания учителя;2;protocols_1_2
П1.3;2;Прицельный протокол «Распределение внимания учителя»;Распределение внимания учителя;3;protocols_1_3
П2.1;4;Базовый протокол «Время на размышление»;Время на размышление;1;protocols_2_1
П2.2;6;Усложненный протокол «Время на размышление»;Время на размышление;2;protocols_2_2
П2.3;5;Прицельный протокол «Время на размышление»;Время на размышление;3;protocols_2_3
П3.1;7;Базовый протокол «Тип вопросов»;Тип вопросов;1;protocols_3_1
П3.2;9;Усложненный протокол «Тип вопросов»;Тип вопросов;2;protocols_3_2
П3.3;8;Прицельный протокол «Тип вопросов»;Тип вопросов;3;protocols_3_3
П4.1;10;Базовый протокол «Качество обратной связи»;Качество обратной связи;1;protocols_4_1
П4.2;12;Усложненный протокол «Качество обратной связи»;Качество обратной связи;2;protocols_4_2
П4.3;11;Прицельный протокол «Качество обратной связи»;Качество обратной связи;3;protocols_4_3
П5.1;13;Базовый протокол «Время речи учеников»;Время речи учеников;1;protocols_5_1
П5.2;15;Усложненный протокол «Время речи учеников»;Время речи учеников;2;protocols_5_2
П5.3;14;Прицельный протокол «Время речи учеников»;Время речи учеников;3;protocols_5_3
П6.1;16;Базовый протокол «Правила речи»;Правила речи;1;protocols_6_1
П6.2;18;Усложненный протокол «Правила речи»;Правила речи;2;protocols_6_2
П6.3;17;Прицельный протокол «Правила речи»;Правила речи;3;protocols_6_3
П7.1;19;Базовый протокол «Время речи педагога»;Время речи педагога;1;protocols_7_1
