;prot_id;satisfaction;wish_to_change;teacher_comments
493;1238;;;Учитель тактично ввел в беседу мишень2, постепенно ученик оживился и стал принимать активное участие  в беседе. В итоге оба ученикамишени на уроке токазались активными, тему поняли и показали обратную связь. Учитель работу учеников оценил хорошо.
1255;281;;;Увеличить количество продуктивных вопросов
2470;2538;3.0;4.0;Думаю да. Один ребенок на контакт не пошел. Нужно больше давать возможность детям говорить, размышлять, рассуждать.Попробую на следующий урок больше дать возможность детям высказать. высказаться
2887;2779;3.0;2.0;Этим уроком довольна. На данном этапе ничего менять не буду.
2997;2846;3.0;2.0;Уроком удовлетворена. Дети работали хорошо. Будем дальше осваивать материал.
1322;1759;;;"Уроком удовлетворена. Дети давали разные ответы на вопросы. ""Слабые"" ученики старались ответить на вопросы кратко, а ученики с высокими показателями в учебе давали развернутые ответы.На репродуктивные вопросы реакция детей также была разной.Кто-то был готов дать ответ молниеносно, а некоторым ребятам необходимо было дать время на обдумывание. На последующих уроках будем стараться тренировать навыки быстрого мышления."
2571;2344;4.0;;Вполне удовлетворена уроком. Совсем другой стала моя реакция на ответы учащихся. Я стараюсь подождать несколько секунд, чтобы ребенок смог осмыслить вопрос и сформировал ответ на него. Очень нравится детям, когда они сами задают друг другу вопросы или участвуют в диалоге наравне со мной.
2403;1146;;;Урок математики в 7 классе. Ребята молодцы, стараются. Не сразу все получается. Стараюсь подбодрить, хвалю. Всегда есть желающие ответить.
1106;1715;;;Приготовить для мишеней и для остальных ребят опережающее задание в формате вопросов зачёта на следующий урок, для того чтобы мишени и другие ребята знали какие будут вопросы и подготовились к ним
1319;2102;4.0;4.0;Урок прошел в хорошем темпе. Все ученики были вовлечены в работу (один обучающийся по АОП выполнял индивидуальное задание). Вопросы продуктивного уровня требуют большего времени на размышление, поэтому на следующем уроке это буду учитывать. Необходимо увеличить количество продуктивных вопросов.
2892;2969;3.0;2.0;цель достигнута.обучающиеся стали активными,отвечали на правльно поставленные вопросы педагога полным ответом 
1666;929;;;Постникова С.В.: В целом, работой на уроке удовлетворена. Большая часть учеников работали активно, постаралась задействовать каждого ребёнка. 
388;1895;;;Результатами по данному протоколу доволен, распределение моего внимания было правильным. Наверно, трудно получить другой результат с таким малым количеством детей. Но я считаю, что это хорошая тренировка данного навыка для работы в классах с большим количеством учеников.
1838;1526;;;Цель - больше хвалить детей. Буду применять это на последующих уроках.
852;235;;;"Тема урока  русского языка в 4 классе ""Спряжение глаголов"" очень трудная, особенно для ребят, занимающихся по адаптированным программам. Поэтому время на размышление увеличивается (если сравнивать уроки с более лёгкими темами или при повторении изученного). Дети  на уроке были немного  рассеяны, допускали ошибки при ответах и при выполении заданий."
815;84;;;Да, удовлетворена. Пока менять ничего не хотела бы. 
520;1203;;;я думаю, что мы не зря начали работу по  этой теме. Выбранные ребята стали на уроке более внимательными и активными 
250;775;;;Да, удовлетворена.Нужно больше привлекать внимание слабым ученикам, чтобы они не были растерянными и напряженными.
349;1937;;;Уроком полностью удовлетворена, все цели учителя достигнуты. Распределять внимание так,чтобы слабые ученики были постоянно заняты активной деятельностью, это моя цель.
874;307;;;Роману и Савелию на следующий урок приготовить упрощенный тип задания, чтобы создать ситуацию успеха и уменьшить время на размышления
2444;1807;3.0;3.0;Добиваться полных, аргументированных ответов учащихся.
1271;287;;;Да. Каждый ученик имел возможность ответить на вопрос учителя. Детям было интересно отвечать на вопросы
2035;1882;3.0;1.0;Кажется, уже столько протоколов отработано, должно все получаться. По крайней мере стараемся, чтоб получилось.
1169;2493;3.0;2.0;Урок прошел в целом плодотворно. Обучающиеся активно отвечали на вопросы. Мишень №2 так и не включилась в работу с классом. Мишень № 1 стала активнее работать. Прицельный урок помогает активизировать слабых учеников. Но к сожалению не все ученики готовы это принимать. 
1111;153;;;Мной была выбрана мишень. На уроке ему уделено достаточно внимания. В силу своих возможностей он справился с задачами урока и заданиями. Хотелось бы добавить заданий, которые сильный учащийся смог бы объяснить слабому. 
1641;754;;;Недостаточно удовлетворена, конкретнее формулировать вопросы, увеличить время для размышления. 
1028;1577;;;Посещением урока удовлетворена , слабому ученику больше давать времени на обдумывание  вопроса . Так как у Мишени №2 при постановке вопроса присутствует растерянность. Ему необходимо больше времени чтобы сосредоточиться .
1448;487;;;На данном уроке количество репродуктивных вопросов превысило продуктивных. Учитель использовал больше разных ключевых слов в вопросах
1458;430;;;Уроком удовлетворён, поставленная цель была достигнута. Количество продуктивных вопросов превышает количество репродуктивных.
1730;1100;;;Уроком  удовлетворена,ребята стали более уверенными в ответах, активными, проявляют и.нтерес,задают вопросы
1492;2032;;;Уроком удовлетворена. На последующих уроках добиваться самостоятельности слабых учеников
2515;2702;4.0;1.0;Полностью удовлетворена результатом отработки протокола. Менять ничего не надо. Дополнительной отработки протокола не потребовалось, так как трудностей с ним не возникло. Работаем дальше, понимание дальнейшей работы есть.
2465;2528;3.0;4.0;В принципе удовлетворена.Девочки имеют не слишком развитую речь, им полезно побольше поговорить на уроке, поразмышлять. На этом уроке они говорили в общей слоржности 20 минут. Мне кажется, на следующий урок им ндо  дать побольше вопросов  и времени для ответов.
2677;2369;3.0;2.0;Урок прошел в обычном режиме. Дети отвечали, молодцы. Пока я не знаю, что бы хотела изменить.
